district,chronic_disease_types,patients,days_visited,medical_fee,,
Total,high_blood_pressure,1181661,8143177,590970902,,
Total,diabetes,561999,4019049,439948615,,
Total,periodontal_disease,4206178,12886765,808429986,,
Total,arthritis,1213832,6778556,459730641,,
Total,mental_illness,605657,9320474,671664715,,
Total,epidemic,2173748,5743877,465650619,,
Total,liver_disease,260020,746386,112132783,,
Jongno-gu,high_blood_pressure,18332,118619,8639312,,
Jongno-gu,diabetes,9158,64786,7412150,,
Jongno-gu,periodontal_disease,65987,204195,13176525,,
Jongno-gu,arthritis,19242,106508,7281383,,
Jongno-gu,mental_illness,10622,155407,11809492,,
Jongno-gu,epidemic,31009,86020,9339065,,
Jongno-gu,liver_disease,3752,13197,2117811,,
Jung-gu,high_blood_pressure,16796,110106,7774014,,
Jung-gu,diabetes,8345,59028,6552466,,
Jung-gu,periodontal_disease,58192,186918,12132359,,
Jung-gu,arthritis,17414,104374,7527990,,
Jung-gu,mental_illness,8735,152370,11045892,,
Jung-gu,epidemic,28716,80387,7724175,,
Jung-gu,liver_disease,3635,12693,2077736,,
Yongsan-gu,high_blood_pressure,26179,182706,13368401,,
Yongsan-gu,diabetes,12601,91044,10526522,,
Yongsan-gu,periodontal_disease,97322,293156,19098680,,
Yongsan-gu,arthritis,26734,149242,10211671,,
Yongsan-gu,mental_illness,14610,231342,17720954,,
Yongsan-gu,epidemic,49441,132928,14156525,,
Yongsan-gu,liver_disease,6018,20267,3485992,,
Seongdong-gu,high_blood_pressure,37435,272476,19427982,,
Seongdong-gu,diabetes,17432,130660,13520032,,
Seongdong-gu,periodontal_disease,135663,411334,25155222,,
Seongdong-gu,arthritis,37874,213347,15447643,,
Seongdong-gu,mental_illness,19613,277995,20879229,,
Seongdong-gu,epidemic,70269,191039,15381708,,
Seongdong-gu,liver_disease,8437,25272,3842574,,
Gwangjin-gu,high_blood_pressure,40198,291147,20731171,,
Gwangjin-gu,diabetes,19829,150016,15840174,,
Gwangjin-gu,periodontal_disease,152266,452073,27339023,,
Gwangjin-gu,arthritis,42867,226163,16399650,,
Gwangjin-gu,mental_illness,20819,282328,21297019,,
Gwangjin-gu,epidemic,76680,202851,16376923,,
Gwangjin-gu,liver_disease,8667,23820,3542731,,
Dongdaemun-gu,high_blood_pressure,45161,307324,22819386,,
Dongdaemun-gu,diabetes,21897,160613,18480542,,
Dongdaemun-gu,periodontal_disease,145581,456999,30042491,,
Dongdaemun-gu,arthritis,48110,268128,18730298,,
Dongdaemun-gu,mental_illness,22185,374095,26938245,,
Dongdaemun-gu,epidemic,72994,193502,18421550,,
Dongdaemun-gu,liver_disease,8993,27697,4216551,,
Jungnang-gu,high_blood_pressure,56392,458974,29459624,,
Jungnang-gu,diabetes,27146,219663,22765998,,
Jungnang-gu,periodontal_disease,162065,531882,34685946,,
Jungnang-gu,arthritis,55285,325644,23543112,,
Jungnang-gu,mental_illness,25672,396730,28266150,,
Jungnang-gu,epidemic,87681,244042,19660693,,
Jungnang-gu,liver_disease,11617,36129,5918987,,
Seongbuk-gu,high_blood_pressure,55709,380530,28053531,,
Seongbuk-gu,diabetes,26831,187272,20227882,,
