,Total,Male,Female,
Seoul,2.7,1.5,3.8,
Jongno-gu,3.5,relative standard deviation exceeds 20 percent,5.2,
Jung-gu,2.2,relative standard deviation exceeds 20 percent,2.5,
Yongsan-gu,2.8,relative standard deviation exceeds 20 percent,3.1,
Seongdong-gu,2.7,relative standard deviation exceeds 20 percent,3.1,
Gwangjin-gu,1.9,relative standard deviation exceeds 20 percent,2.6,
Dongdaemun-gu,2.8,relative standard deviation exceeds 20 percent,4,
Jungnang-gu,3.8,relative standard deviation exceeds 20 percent,5.1,
Seongbuk-gu,5.3,relative standard deviation exceeds 20 percent,7.6,
Gangbuk-gu,2.3,relative standard deviation exceeds 20 percent,3.2,
Dobong-gu,2.1,relative standard deviation exceeds 20 percent,3.8,
Nowon-gu,3.4,relative standard deviation exceeds 20 percent,4.9,
Eunpyeong-gu,2.4,relative standard deviation exceeds 20 percent,3.5,
Seodaemun-gu,1.9,relative standard deviation exceeds 20 percent,relative standard deviation exceeds 33 percent,
Mapo-gu,2.5,relative standard deviation exceeds 20 percent,3.2,
Yangcheon-gu,2,relative standard deviation exceeds 20 percent,3.6,
Gangseo-gu,2,relative standard deviation exceeds 20 percent,3.8,
Guro-gu,3.2,relative standard deviation exceeds 20 percent,4.1,
Geumcheon-gu,3,relative standard deviation exceeds 20 percent,4.9,
Yeongdeungpo-gu,2.5,relative standard deviation exceeds 20 percent,4,
Dongjak-gu,2.8,relative standard deviation exceeds 20 percent,3.5,
Gwanak-gu,2.9,relative standard deviation exceeds 20 percent,3.7,
Seocho-gu,3.3,relative standard deviation exceeds 20 percent,3.4,
Gangnam-gu,2.2,relative standard deviation exceeds 20 percent,3.2,
Songpa-gu,1.6,relative standard deviation exceeds 20 percent,2.7,
Gangdong-gu,2.1,relative standard deviation exceeds 20 percent,2.8,
19~29,2.3,2,2.7,
30~44,1.8,1,2.8,
45~64,2.9,1.5,4.2,
65_or_above,4.5,2.3,6.4,
