,,age total,0~4,5~9,10~14,15~19,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85~89,90~94,95~99,100 or over
Seoul,Total,"10,025,927","312,975","369,515","376,470","465,006","696,103","843,338","754,115","817,931","743,660","864,408","805,601","802,554","706,105","486,035","386,169","295,641","176,111","78,957","30,220","8,816","6,197"
Seoul,Korean,"9,740,398","305,099","362,980","372,523","456,055","649,060","811,282","724,217","794,359","723,860","840,237","777,110","769,806","692,350","482,105","384,779","294,994","175,707","78,768","30,144","8,788","6,175"
Seoul,Forigner,"285,529","7,876","6,535","3,947","8,951","47,043","32,056","29,898","23,572","19,800","24,171","28,491","32,748","13,755","3,930","1,390",647,404,189,76,28,22
Jongno0gu,Total,"162,860","3,759","4,842","5,328","7,548","15,060","14,009","11,098","11,170","10,557","13,740","13,327","13,567","11,461","7,925","6,733","5,918","3,787","1,786",720,276,249
Jongno0gu,Korean,"151,767","3,610","4,676","5,214","6,742","11,032","12,577","10,222","10,458","9,976","13,205","12,770","12,961","11,143","7,808","6,681","5,897","3,774","1,778",718,276,249
Jongno0gu,Forigner,"11,093",149,166,114,806,"4,028","1,432",876,712,581,535,557,606,318,117,52,21,13,8,2,0,0
Jung0gu,Total,"136,663","4,051","3,968","3,374","4,615","9,906","12,128","11,178","11,414","9,363","10,637","11,087","11,636","10,281","7,047","5,691","4,776","3,020","1,495",608,198,190
Jung0gu,Korean,"126,409","3,729","3,717","3,193","4,237","7,746","10,766","10,143","10,588","8,662","9,928","10,337","10,776","9,854","6,899","5,636","4,727","2,996","1,482",607,196,190
Jung0gu,Forigner,"10,254",322,251,181,378,"2,160","1,362","1,035",826,701,709,750,860,427,148,55,49,24,13,1,2,0
Yongsan0gu,Total,"244,989","7,466","8,253","7,973","9,720","15,257","20,779","20,573","21,607","18,340","21,238","19,490","19,081","16,681","11,276","9,273","8,028","5,475","2,629","1,106",396,348
Yongsan0gu,Korean,"228,830","6,823","7,432","7,390","9,245","13,782","19,007","18,491","19,570","16,616","19,804","18,328","18,097","16,172","11,024","9,170","7,967","5,447","2,626","1,100",393,346
Yongsan0gu,Forigner,"16,159",643,821,583,475,"1,475","1,772","2,082","2,037","1,724","1,434","1,162",984,509,252,103,61,28,3,6,3,2
Seongdong0gu,Total,"311,290","11,538","11,025","9,846","12,519","22,763","26,886","25,336","27,629","22,888","25,789","24,931","25,203","21,275","14,040","11,204","9,169","5,531","2,383",847,252,236
Seongdong0gu,Korean,"303,158","11,351","10,886","9,775","12,209","20,637","25,733","24,529","27,045","22,421","25,246","24,307","24,535","20,972","13,945","11,177","9,159","5,524","2,379",845,250,233
Seongdong0gu,Forigner,"8,132",187,139,71,310,"2,126","1,153",807,584,467,543,624,668,303,95,27,10,7,4,2,2,3
Gwangjin0gu,Total,"368,337","10,544","12,212","12,608","16,465","30,134","37,317","31,020","30,129","26,173","30,524","29,649","29,449","24,766","15,924","12,410","9,544","5,611","2,458",924,273,203
Gwangjin0gu,Korean,"352,692","10,142","11,879","12,455","15,606","26,414","35,330","29,598","29,107","25,386","29,505","28,283","27,747","24,114","15,780","12,372","9,529","5,595","2,452",924,271,203
Gwangjin0gu,Forigner,"15,645",402,333,153,859,"3,720","1,987","1,422","1,022",787,"1,019","1,366","1,702",652,144,38,15,16,6,0,2,0
