,,cumulative_average,mental_health_status,financial_status,quality_of_friendship,quality_of_family_life,quality_of_social_life
,cumulative_average,6.9,7.22,6.13,7.09,7.13,6.91
sex,male,6.97,7.34,6.21,7.15,7.17,6.98
sex,female,6.83,7.11,6.05,7.04,7.09,6.84
age,10~19,7.15,8.05,5.64,7.49,7.4,7.2
age,20~29,7.17,7.86,6.15,7.39,7.33,7.13
age,30~39,7.16,7.64,6.42,7.26,7.38,7.11
age,40~49,7.04,7.39,6.37,7.14,7.27,7.03
age,50~59,6.89,7.05,6.31,7.06,7.12,6.9
age,60_or_over,6.29,6.18,5.67,6.61,6.6,6.4
highest_degree,middle_school,5.97,5.89,5.19,6.35,6.32,6.09
highest_degree,high_school,6.84,7.13,6.06,7.06,7.07,6.88
highest_degree,college,7.13,7.56,6.37,7.27,7.34,7.1
highest_degree,graduate_school,7.17,7.35,6.62,7.3,7.37,7.18
monthly_income_in_dollars,below_1000,5.59,5.71,4.38,6.07,5.98,5.79
monthly_income_in_dollars,1000~1999,6.11,6.2,5.22,6.5,6.37,6.28
monthly_income_in_dollars,2000~2999,6.7,7.09,5.85,6.96,6.84,6.75
monthly_income_in_dollars,3000~3999,6.96,7.35,6.2,7.15,7.16,6.96
monthly_income_in_dollars,4000~4999,7.03,7.41,6.26,7.21,7.26,7.02
monthly_income_in_dollars,5000_or_above,7.13,7.46,6.46,7.26,7.39,7.1
marital_status,marrid,6.94,7.14,6.3,7.08,7.28,6.92
marital_status,unmarried,7.11,7.8,6.08,7.35,7.21,7.13
marital_status,devorced_or_living_separately,6.38,6.7,5.67,6.69,6.26,6.56
marital_status,widowed,5.93,5.77,5.27,6.37,6.13,6.07
district,Jongno-gu,6.59,6.84,5.88,6.73,6.87,6.61
district,Jung-gu,6.47,6.89,5.38,6.74,6.82,6.51
district,Yongsan-gu,7.67,7.57,6.8,9.13,7.48,7.35
district,Seongdong-gu,6.89,7.19,6.26,7,7.23,6.77
district,Gwangjin-gu,7.09,7.4,6.57,7.18,7.26,7.06
district,Dongdaemun-gu,6.78,7.04,6.1,6.78,7.02,6.95
district,Jungnang-gu,7.02,7.44,6.09,7.23,7.24,7.07
district,Seongbuk-gu,7.04,7.47,6.47,7.15,7.18,6.95
district,Gangbuk-gu,6.75,7.08,5.88,7.01,7.02,6.78
district,Dobong-gu,7.01,7.48,6.28,7.16,7.16,6.95
district,Nowon-gu,6.69,7.09,5.36,6.99,7.18,6.81
district,Eunpyeong-gu,6.78,7.23,6.15,6.84,6.96,6.73
district,Seodaemun-gu,6.84,6.98,5.96,7.08,7.24,6.92
district,Mapo-gu,6.95,7.41,6.38,7,7.12,6.82
district,Yangcheon-gu,7.07,7,6.93,7.29,7.14,6.98
district,Gangseo-gu,6.64,7.06,5.89,6.79,6.77,6.68
district,Guro-gu,6.73,6.98,5.56,7.05,7.02,7.02
district,Geumcheon-gu,7.13,7.73,5.99,7.21,7.51,7.21
district,Yeongdeungpo-gu,7.12,7.43,6.66,7.23,7.21,7.07
district,Dongjak-gu,6.43,6.43,5.57,6.67,6.82,6.67
district,Gwanak-gu,6.82,7.14,5.86,7.06,7.25,6.77
district,Seocho-gu,7.2,7.58,6.32,7.46,7.44,7.18
district,Gangnam-gu,6.91,7.34,6.3,6.95,7.03,6.95
district,Songpa-gu,6.8,7.3,6.02,6.93,6.98,6.78
district,Gangdong-gu,7.18,7.32,6.6,7.36,7.46,7.14
