,total_occurrences,total_deaths,typhus_occurrences,paratyphoid_occurrences,shigellosis_occurrences,EHEC_occurrences,EHEC_deaths,HVA_occurrences
Seoul,610,1,37,14,43,20,1,496
Jongno-gu,12,0,0,1,0,2,0,9
Jung-gu,11,0,1,1,1,1,0,7
Yongsan-gu,18,0,2,1,1,0,0,14
Seongdong-gu,12,0,1,0,1,0,0,10
Gwangjin-gu,15,0,1,0,0,0,0,14
Dongdaemun-gu,18,1,2,0,3,2,1,11
Jungnang-gu,25,0,0,0,5,1,0,19
Seongbuk-gu,20,0,0,0,2,0,0,18
Gangbuk-gu,28,0,0,2,0,1,0,25
Dobong-gu,32,0,1,0,5,4,0,22
Nowon-gu,36,0,3,0,0,2,0,31
Eunpyeong-gu,32,0,3,2,2,0,0,25
Seodaemun-gu,22,0,1,3,1,0,0,17
Mapo-gu,38,0,3,0,2,1,0,32
Yangcheon-gu,25,0,0,0,0,0,0,25
Gangseo-gu,46,0,2,1,1,1,0,41
Guro-gu,28,0,5,0,7,0,0,16
Geumcheon-gu,9,0,0,0,3,0,0,6
Yeongdeungpo-gu,20,0,1,0,1,0,0,18
Dongjak-gu,25,0,1,0,0,1,0,23
Gwanak-gu,29,0,0,0,3,3,0,23
Seocho-gu,27,0,3,1,0,0,0,23
Gangnam-gu,33,0,3,0,2,0,0,28
Songpa-gu,28,0,3,0,2,1,0,22
Gangdong-gu,21,0,1,2,1,0,0,17
