,total_occurrences,total_deaths,malaria_occurrences,tuberculosis_occurrences,tuberculosis_deaths,leprosy_occurrences,scarlet_fever_occurrences,scrub_typhus_occurrences,leptospirosis_occurrences,brucellosis_occurrences,HFRS_occurrences,other_tier3_epidemics_occurrences,other_tier3_epidemics_deaths
Seoul,13421,377,82,4747,319,2,2355,196,7,1,21,6010,58
Jongno-gu,421,19,1,87,14,0,36,5,0,0,0,292,5
Jung-gu,164,11,0,77,10,0,25,0,0,0,0,62,1
Yongsan-gu,308,8,4,145,8,0,32,5,0,0,1,121,0
Seongdong-gu,450,14,1,143,8,0,63,6,0,0,0,237,6
Gwangjin-gu,378,7,4,177,6,0,20,1,0,1,0,175,1
Dongdaemun-gu,523,18,0,192,17,0,138,7,0,0,1,185,1
Jungnang-gu,563,17,1,239,17,0,153,5,0,0,1,164,0
Seongbuk-gu,498,14,5,211,14,0,103,4,0,0,0,175,0
Gangbuk-gu,411,18,2,224,18,0,87,6,0,0,0,92,0
Dobong-gu,303,9,4,152,8,0,74,7,0,0,0,66,1
Nowon-gu,552,36,4,224,32,0,106,13,1,0,0,204,4
Eunpyeong-gu,443,14,3,224,14,0,59,7,0,0,0,150,0
Seodaemun-gu,939,20,3,137,10,0,41,3,0,0,2,753,10
Mapo-gu,307,10,9,144,8,0,74,8,1,0,0,71,2
Yangcheon-gu,436,15,5,193,14,0,68,14,0,0,1,155,1
Gangseo-gu,493,22,10,282,21,2,69,11,1,0,3,115,1
Guro-gu,745,22,3,250,17,0,97,11,0,0,2,382,5
Geumcheon-gu,730,9,1,170,9,0,433,13,1,0,2,110,0
Yeongdeungpo-gu,807,19,9,228,18,0,108,10,1,0,3,448,1
Dongjak-gu,472,12,2,221,10,0,100,12,1,0,2,134,2
Gwanak-gu,660,8,2,317,8,0,117,30,0,0,0,194,0
Seocho-gu,571,11,0,120,9,0,107,1,0,0,1,342,2
Gangnam-gu,857,20,2,152,9,0,80,4,1,0,0,618,11
Songpa-gu,786,13,6,224,10,0,112,11,0,0,2,431,3
Gangdong-gu,604,11,1,214,10,0,53,2,0,0,0,334,1
